# gaia offsets for plate:9448 pointing:A fiberPosition:3
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
330.2221700, -35.6687930, -59.616464, 220.967690, 0.0459, 0.0369, 330.2221573, -35.6688033
330.1608300, -35.1767830, -43.297489, 58.263822, 0.3002, -0.0488, 330.1607466, -35.1767694
330.1154800, -35.1626700, -31.091359, 53.593969, 0.0354, -0.0912, 330.1154702, -35.1626447
330.2250700, -34.6590110, -61.015707, -112.309730, -0.0260, -0.0534, 330.2250772, -34.6589962
330.1867600, -34.2441940, -51.032165, -249.773750, -0.1757, -0.0681, 330.1868088, -34.2441751
330.8519600, -35.4309210, -229.572410, 143.493880, 0.2142, 0.1475, 330.8519005, -35.4309620
330.8077400, -35.1968690, -218.007320, 65.908963, -0.0336, 0.1681, 330.8077493, -35.1969157
330.8154900, -34.6659200, -221.651360, -109.495690, -0.2035, 0.1625, 330.8155465, -34.6659651
329.4683100, -34.3254580, 145.191470, -222.651230, 0.1874, 0.0864, 329.4682579, -34.3254820
329.4817500, -34.5916670, 140.792500, -134.384260, 0.1250, -0.0662, 329.4817153, -34.5916486
329.6579200, -35.2139850, 92.094868, 70.673998, -0.2481, 0.0830, 329.6579889, -35.2140081
329.2664800, -35.4285550, 197.498200, 142.338120, 0.0787, 0.1079, 329.2664582, -35.4285850
329.7220500, -35.8997890, 74.554968, 298.044050, 0.1073, -0.0561, 329.7220202, -35.8997734
329.1468600, -34.7700200, 231.566160, -75.001102, 0.2579, 0.0939, 329.1467884, -34.7700461
328.9422400, -35.0058750, 286.671610, 3.465495, 0.3318, 0.1867, 328.9421478, -35.0059269
328.9738000, -35.3946420, 276.988030, 132.102340, -0.1955, -0.3767, 328.9738543, -35.3945374
