# gaia offsets for plate:9449 pointing:D fiberPosition:3
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
15.1949160, 24.0781870, -58.934559, 305.056920, -0.0290, 0.0167, 15.1949241, 24.0781824
15.3471990, 24.8854130, -103.778310, 37.558104, -0.0745, 0.0367, 15.3472197, 24.8854028
14.9947500, 25.2999490, 1.563709, -98.827509, -0.0175, 0.0179, 14.9947549, 25.2999440
15.3136170, 25.5068930, -93.402929, -167.356620, -0.1294, 0.0047, 15.3136529, 25.5068917
15.0775300, 25.7312920, -23.078015, -241.592290, -0.0097, -0.0180, 15.0775327, 25.7312970
15.7023930, 24.4672680, -211.456110, 175.538070, -0.1243, -0.0445, 15.7024275, 24.4672804
15.5969930, 25.1376290, -178.309340, -45.832020, 0.1452, 0.0366, 15.5969527, 25.1376188
15.7899850, 25.4282180, -235.981690, -142.319160, -0.0049, -0.1351, 15.7899864, 25.4282555
14.6144380, 25.7560870, 114.860290, -250.191250, -0.0455, 0.0734, 14.6144506, 25.7560666
14.4053210, 25.1167640, 177.639700, -38.945882, 0.0279, 0.0850, 14.4053132, 25.1167404
14.7192280, 24.5995770, 84.179689, 131.846570, 0.0281, 0.0532, 14.7192202, 24.5995622
14.3834150, 24.5915460, 185.182780, 134.387560, -0.0514, 0.0835, 14.3834293, 24.5915228
14.8240500, 24.3495810, 52.935609, 214.615430, -0.0543, 0.0246, 14.8240651, 24.3495742
14.2455180, 25.4790990, 225.283330, -159.082090, -0.0174, -0.0419, 14.2455228, 25.4791106
14.2066670, 24.7205840, 238.200290, 91.579120, 0.0152, 0.0924, 14.2066628, 24.7205583
14.0590900, 24.6769890, 283.048890, 105.866210, 0.0038, -0.0019, 14.0590889, 24.6769895
