# gaia offsets for plate:9450 pointing:A fiberPosition:1
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
337.8141700, -0.6776718, -103.816320, 223.911110, Nan, Nan, Nan, Nan
338.0365300, -0.0597220, -176.992470, 19.680288, Nan, Nan, Nan, Nan
337.7778500, 0.1115465, -91.536671, -36.766472, -0.0249, 0.0115, 337.7778569, 0.1115433
338.1245000, 0.4132002, -206.373780, -136.562990, -0.1039, 0.1282, 338.1245289, 0.4131646
337.7649000, 0.7594563, -87.585482, -251.122280, -0.1526, 0.0271, 337.7649424, 0.7594488
338.3529700, -0.3919135, -282.466750, 129.763360, -0.0148, 0.0636, 338.3529741, -0.3919312
338.3147000, 0.0157097, -269.415100, -5.214718, -0.0348, 0.0688, 338.3147097, 0.0156906
338.3021200, 0.4980888, -265.642860, -164.973280, -0.0495, 0.0210, 338.3021337, 0.4980830
337.5129900, 0.8056320, -4.294994, -266.392570, -0.0339, 0.0884, 337.5129994, 0.8056075
337.3963400, 0.1445418, 34.137551, -47.617988, -0.0266, 0.0767, 337.3963474, 0.1445205
337.3720200, -0.2328122, 42.157228, 76.664734, -0.0251, 0.0611, 337.3720270, -0.2328292
337.0615200, -0.1627783, 144.578120, 53.649258, -0.0993, 0.0920, 337.0615476, -0.1628039
337.4631800, -0.8004872, 12.173539, 264.639490, 0.0239, -0.0389, 337.4631733, -0.8004764
336.9048600, 0.1842853, 196.451380, -60.848479, -0.1294, 0.1586, 336.9048959, 0.1842413
336.9467400, -0.0618449, 182.533590, 20.383066, -0.1736, 0.0436, 336.9467882, -0.0618570
336.8973200, -0.3615203, 199.076520, 119.392940, -0.0858, 0.0661, 336.8973438, -0.3615387
