# gaia offsets for plate:9448 pointing:C fiberPosition:2
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
45.2118570, -35.7442310, -56.834248, 246.045350, -0.3484, -0.1368, 45.2119538, -35.7441930
45.5086450, -35.1784780, -137.070370, 59.196760, -0.1024, 0.1255, 45.5086734, -35.1785129
45.3226600, -35.0918500, -86.971141, 30.401755, -0.1147, 0.2389, 45.3226919, -35.0919164
45.4163880, -34.7259180, -112.820640, -90.117480, -0.3445, 0.2977, 45.4164837, -34.7260007
45.1122760, -34.3680560, -30.596361, -208.606340, -0.2445, -0.0647, 45.1123439, -34.3680380
45.8561510, -35.2133710, -231.118000, 71.496618, -0.1104, -0.2932, 45.8561817, -35.2132896
45.9741420, -35.0911350, -263.550940, 31.423435, -0.3099, 0.0766, 45.9742281, -35.0911563
45.9444780, -34.8538960, -256.227670, -47.088103, -0.3046, 0.2735, 45.9445626, -34.8539720
44.6228770, -34.3615780, 102.842390, -210.701740, -0.2348, -0.0932, 44.6229422, -34.3615521
44.3863540, -34.8546550, 166.097250, -47.428078, -0.3367, 0.0822, 44.3864475, -34.8546778
44.5784440, -35.1412470, 113.603930, 46.792004, -0.4453, 0.1460, 44.5785677, -35.1412876
44.4227700, -35.1417390, 155.661740, 47.196548, -0.2771, 0.1586, 44.4228470, -35.1417830
44.6783340, -35.7626080, 86.310293, 252.308900, 0.0023, -0.4806, 44.6783334, -35.7624745
44.0511720, -34.5912210, 258.488610, -134.050250, -0.1746, 0.1680, 44.0512205, -34.5912677
43.9431940, -34.8667900, 286.932540, -42.561737, 0.0213, -0.5032, 43.9431881, -34.8666502
44.1877660, -35.1901780, 219.241580, 63.709888, 0.1081, 0.1728, 44.1877360, -35.1902260
