# gaia offsets for plate:9449 pointing:A fiberPosition:3
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
330.5729500, -75.7791760, -46.534866, 257.808800, 0.4472, -0.0538, 330.5728258, -75.7791610
331.1688900, -75.2356720, -98.166943, 78.656956, 0.1241, 0.1641, 331.1688555, -75.2357176
329.6901300, -74.9259190, 26.535523, -24.280792, 1.1424, -0.1002, 329.6898127, -74.9258912
330.6094500, -74.6841350, -53.045952, -103.751180, -0.2874, 0.0669, 330.6095298, -74.6841536
330.2341700, -74.1748030, -21.121172, -272.782910, -0.2033, -0.1428, 330.2342265, -74.1747633
332.5065300, -75.0803220, -213.012130, 31.052227, 0.4725, 0.2203, 332.5063988, -75.0803832
332.5314400, -75.0396500, -215.707360, 17.728821, -1.0927, 0.1328, 332.5317435, -75.0396869
332.2956600, -74.4598940, -203.330870, -174.592300, -0.8492, 0.1632, 332.2958959, -74.4599393
328.7241800, -74.1383560, 115.454010, -283.958470, -0.4980, 0.1281, 328.7243183, -74.1383916
328.1816800, -74.7243960, 158.019890, -88.444577, 0.0472, -0.0036, 328.1816669, -74.7243950
328.8009500, -75.0968700, 101.597500, 32.973754, -0.4571, 0.1914, 328.8010770, -75.0969232
328.0888600, -75.3646930, 159.351890, 122.947810, -0.3807, 0.1507, 328.0889658, -75.3647349
328.6217700, -75.7650310, 112.097660, 254.341890, -0.6157, 0.1661, 328.6219410, -75.7650771
326.7804600, -74.7104950, 280.848820, -88.139586, -0.3542, 0.2506, 326.7805584, -74.7105646
326.4175100, -74.9495930, 307.847240, -7.354039, 0.5038, -0.0235, 326.4173700, -74.9495865
326.3534600, -75.1215440, 309.912850, 49.811604, -1.7857, 0.4756, 326.3539560, -75.1216761
