# gaia offsets for plate:9450 pointing:C fiberPosition:2
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
37.5454310, -0.8175366, -15.023286, 270.326690, -0.0706, 0.0976, 37.5454506, -0.8175637
37.8736880, -0.1702945, -123.173800, 56.108673, -0.0985, -0.0429, 37.8737154, -0.1702826
37.7051350, -0.0537844, -67.561680, 17.692739, -0.1166, -0.0370, 37.7051674, -0.0537742
37.8183490, 0.4561874, -105.028410, -150.517450, -0.0559, 0.1044, 37.8183645, 0.4561584
37.6333480, 0.7703697, -44.079229, -254.670180, -0.0185, 0.0573, 37.6333531, 0.7703538
38.1666120, -0.2389797, -220.207070, 78.921132, -0.0608, -0.0365, 38.1666289, -0.2389696
38.1338190, 0.0364811, -209.240240, -12.062763, 0.0355, 0.0236, 38.1338091, 0.0364745
38.2224800, 0.4198607, -238.968220, -138.890280, 0.0385, -0.0277, 38.2224693, 0.4198684
37.4118780, 0.9381848, 29.181342, -310.703970, 0.0496, 0.0342, 37.4118642, 0.9381753
37.0842850, -0.0269407, 137.031460, 8.859837, 0.1069, 0.1083, 37.0842553, -0.0269708
37.4696610, -0.0451492, 9.989376, 14.844584, -0.0663, 0.0685, 37.4696794, -0.0451682
37.0948770, -0.5225030, 133.767900, 172.500580, 0.0701, 0.0896, 37.0948575, -0.5225279
37.4579290, -0.8833110, 13.922207, 292.291000, -0.0451, 0.0426, 37.4579415, -0.8833229
36.8104820, 0.2509302, 227.828900, -82.928666, -0.0978, -0.0387, 36.8105092, 0.2509409
36.8509000, -0.0558730, 214.315000, 18.426966, -0.0254, -0.0007, 36.8509071, -0.0558728
36.7643890, -0.2299820, 243.147700, 75.995517, -0.0773, 0.1519, 36.7644105, -0.2300242
