# gaia offsets for plate:9450 pointing:B fiberPosition:1
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
7.9372475, -0.7737293, -144.704780, 256.043140, 0.0595, 0.3793, 7.9372310, -0.7738347
7.9603561, -0.1180362, -151.798510, 38.899254, -0.0846, 0.1061, 7.9603796, -0.1180656
7.9200615, 0.2094995, -138.506300, -69.094374, -0.1216, 0.1566, 7.9200953, 0.2094560
7.8866111, 0.3897066, -127.543080, -128.578720, Nan, Nan, Nan, Nan
7.9735794, 0.8159627, -156.830000, -270.236230, -0.0326, 0.0571, 7.9735885, 0.8159468
8.2358395, -0.1843464, -243.194070, 60.904243, 0.0594, 0.2206, 8.2358230, -0.1844076
8.3677478, -0.1549791, -287.169590, 51.267205, -0.2074, -0.0835, 8.3678054, -0.1549559
8.3058503, 0.1750640, -266.515900, -57.916320, -0.3591, -0.0088, 8.3059501, 0.1750664
7.5193390, 0.7672572, -6.391729, -253.604090, -0.0410, 0.0929, 7.5193504, 0.7672313
7.3186235, 0.4260936, 59.801880, -140.501410, -0.0045, 0.1980, 7.3186247, 0.4260386
7.4141551, -0.1830386, 28.272352, 60.258434, -0.1134, 0.0117, 7.4141866, -0.1830419
7.1959955, -0.3226950, 100.222660, 106.358980, -0.0379, 0.0173, 7.1960060, -0.3226998
7.3289581, -0.6422025, 56.477341, 212.027950, 0.0764, 0.0551, 7.3289369, -0.6422178
7.0121095, 0.6417111, 161.319940, -212.197490, 0.0594, 0.0176, 7.0120930, 0.6417062
7.0647137, -0.1080552, 143.508710, 35.602449, -0.0322, 0.1570, 7.0647226, -0.1080988
7.0132866, -0.2344302, 160.558360, 77.310711, -0.0760, 0.0169, 7.0133077, -0.2344349
