# gaia offsets for plate:9448 pointing:D fiberPosition:3
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
82.6608170, -35.7178120, -43.141631, 237.207950, -0.1217, -0.2756, 82.6608508, -35.7177354
82.7122550, -35.2641490, -57.099129, 87.093096, 0.0176, -0.1221, 82.7122501, -35.2641151
82.4220620, -34.8829310, 21.053088, -38.537721, -0.1555, -0.0420, 82.4221052, -34.8829193
82.7562920, -34.8086590, -69.322372, -62.940317, 0.0375, -0.0918, 82.7562816, -34.8086335
82.8002640, -34.2881380, -81.989345, -235.131530, 0.1625, -0.2439, 82.8002189, -34.2880703
83.4010290, -35.1538440, -243.460460, 51.945750, -0.2176, -0.2651, 83.4010895, -35.1537703
83.2701250, -34.8311040, -208.720880, -54.958528, -0.1203, -0.0229, 83.2701584, -34.8310976
83.2851780, -34.6066230, -213.580840, -129.166000, -0.3158, -0.1717, 83.2852657, -34.6065753
82.2284980, -34.2417490, 74.204675, -250.578580, 0.0370, -0.0184, 82.2284877, -34.2417439
81.9198650, -34.8242230, 157.067440, -57.513592, 0.5697, -0.1579, 81.9197068, -34.8241791
82.2868530, -35.1818240, 57.383821, 59.956268, 0.1002, -0.1969, 82.2868252, -35.1817693
81.9762260, -35.4065020, 140.883720, 134.522650, -0.0695, -0.1035, 81.9762453, -35.4064732
82.1136740, -35.6577260, 103.714980, 217.521170, -0.1646, -0.1167, 82.1137197, -35.6576936
81.3690710, -34.8496020, 307.349220, -48.065005, 0.0556, -0.0974, 81.3690556, -34.8495750
81.4188330, -35.1125990, 292.718940, 38.857027, 0.2223, -0.2420, 81.4187712, -35.1125318
81.3834780, -35.1872710, 302.158640, 63.707213, 0.0433, 0.0333, 81.3834660, -35.1872802
