# gaia offsets for plate:9448 pointing:D fiberPosition:1
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
83.0922450, -35.7667200, -159.081640, 254.286790, -0.1737, -0.2769, 83.0922933, -35.7666431
83.1361950, -35.0161400, -171.858910, 5.874734, -0.0099, 0.0792, 83.1361977, -35.0161620
82.8451830, -34.9450650, -93.212066, -17.932558, -0.1126, -0.3121, 82.8452143, -34.9449783
83.1570090, -34.7810590, -178.068460, -71.658863, Nan, Nan, Nan, Nan
82.9016490, -34.3814390, -109.495880, -204.098700, -0.1238, -0.1000, 82.9016834, -34.3814112
83.4762820, -35.1959230, -263.846040, 66.090496, -0.0498, -0.1449, 83.4762958, -35.1958827
83.6446560, -35.1145960, -310.091710, 39.734234, -0.0152, -0.0339, 83.6446602, -35.1145866
83.5897210, -34.7966420, -296.260060, -65.709370, -0.0832, -0.1063, 83.5897441, -34.7966125
82.4073650, -34.3331600, 25.261631, -220.193880, -0.0594, 0.0154, 82.4073815, -34.3331643
82.0866800, -34.9894640, 111.573800, -3.237002, 0.1185, 0.2508, 82.0866471, -34.9895337
82.3108810, -35.2851980, 50.863842, 94.018765, -0.1693, -0.1040, 82.3109280, -35.2851691
82.3409360, -35.3960910, 42.741335, 130.600590, -0.0385, -0.0291, 82.3409467, -35.3960829
82.2195900, -35.6634290, 75.255502, 219.253280, 0.0292, 0.0713, 82.2195819, -35.6634488
81.7601390, -34.7036760, 200.867680, -97.112557, 0.6209, -0.4407, 81.7599665, -34.7035536
81.7064610, -34.8337440, 215.093070, -54.045696, -0.0857, 0.0467, 81.7064848, -34.8337570
81.6541560, -35.2848780, 228.169910, 95.114122, 0.1553, -0.0137, 81.6541129, -35.2848742
