# gaia offsets for plate:9449 pointing:D fiberPosition:1
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
15.3568860, 24.1808690, -107.746450, 270.782410, 0.0362, 0.0204, 15.3568760, 24.1808633
15.5869410, 24.5633590, -176.313130, 143.727970, -0.0195, 0.0092, 15.5869464, 24.5633564
15.2811970, 24.8932310, -84.025562, 35.020650, -0.0741, 0.0211, 15.2812176, 24.8932251
15.5856620, 25.4937090, -174.657810, -163.478630, -0.0188, 0.0105, 15.5856672, 25.4937061
15.4443800, 25.6364430, -132.404160, -210.513980, 0.0502, 0.0055, 15.4443661, 25.6364415
15.9121080, 24.5432980, -274.788310, 150.227430, -0.0324, -0.0402, 15.9121170, 24.5433092
15.9964840, 24.7963140, -299.527110, 66.269635, -0.1321, 0.1014, 15.9965207, 24.7962858
15.8967070, 25.3606580, -268.175930, -120.255510, 0.1080, 0.0643, 15.8966770, 25.3606401
15.0308470, 25.7668780, -9.182326, -253.421800, -0.0085, -0.0272, 15.0308494, 25.7668856
14.6811390, 25.1959640, 95.073159, -64.709103, -0.0029, 0.1284, 14.6811398, 25.1959283
14.9788380, 24.7097000, 6.333222, 95.546630, 0.0221, 0.1236, 14.9788319, 24.7096657
14.7496590, 24.5251410, 75.126357, 156.452460, -0.0625, 0.0085, 14.7496764, 24.5251386
14.8801750, 24.1811090, 36.153758, 270.660860, 0.0482, 0.0696, 14.8801616, 24.1810897
14.3529840, 25.4282740, 193.061430, -141.953660, -0.0512, -0.0262, 14.3529982, 25.4282813
14.3349110, 24.9891920, 198.956890, 3.028280, -0.0037, -0.0241, 14.3349120, 24.9891987
14.1788680, 24.6802130, 246.726560, 104.911270, 0.0332, 0.0346, 14.1788588, 24.6802034
