# gaia offsets for plate:9449 pointing:A fiberPosition:2
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
331.1592800, -75.8725930, -93.680561, 289.790280, 0.6054, -0.1525, 331.1591118, -75.8725506
332.0867200, -75.2328040, -175.483440, 79.930677, -0.0920, -0.0728, 332.0867456, -75.2327838
330.7955400, -74.7400390, -68.988806, -85.135540, 0.0829, 0.2848, 330.7955170, -74.7401181
331.2879200, -74.6068630, -112.751140, -128.380050, Nan, Nan, Nan, Nan
330.6895000, -74.3101580, -61.598642, -227.447060, -0.6638, 0.1548, 330.6896844, -74.3102010
333.1422500, -75.2151260, -265.109410, 78.201653, -0.3614, 0.2783, 333.1423504, -75.2152033
332.5350600, -75.0043490, -216.514600, 6.099243, -1.2888, 0.2091, 332.5354180, -75.0044071
332.4247300, -74.6220600, -212.413790, -120.481200, -1.6181, 0.1620, 332.4251795, -74.6221050
329.0626100, -74.3445890, 83.553736, -215.747420, 0.1037, 0.0773, 329.0625812, -74.3446105
328.3150900, -74.6311930, 147.330040, -119.538940, 0.0552, 0.0230, 328.3150747, -74.6311994
328.8733500, -75.2304950, 94.646860, 76.878368, -0.6398, -0.0693, 328.8735277, -75.2304757
328.7633000, -75.3231200, 103.300000, 107.621640, 2.0317, 0.2164, 328.7627356, -75.3231801
328.6711300, -75.8505100, 107.539230, 282.749550, -0.3698, 0.0864, 328.6712327, -75.8505340
326.8163000, -74.7885740, 276.235010, -62.484848, -0.1095, 0.2945, 326.8163304, -74.7886558
326.6550900, -74.9465940, 287.303850, -9.530194, -0.2044, -0.0776, 326.6551468, -74.9465725
326.9592700, -75.3571800, 254.198940, 124.698630, -0.0891, 0.3037, 326.9592948, -75.3572644
