# gaia offsets for plate:9448 pointing:B fiberPosition:3
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
7.7499102, -35.6405520, -67.071329, 211.618360, -0.2325, -0.0972, 7.7499748, -35.6405250
7.8753770, -35.0480420, -101.246970, 16.022067, -0.0426, 0.1407, 7.8753888, -35.0480811
7.5555444, -35.0949580, -14.964489, 31.275333, -0.1192, 0.2740, 7.5555775, -35.0950341
7.6543946, -34.6920940, -41.828184, -101.416150, 0.1573, 0.3919, 7.6543509, -34.6922029
7.6305150, -34.0910530, -35.785363, -300.895890, -0.2467, 0.1487, 7.6305835, -34.0910943
8.2277026, -35.2379440, -196.223330, 79.275269, -0.0244, 0.2180, 8.2277094, -35.2380045
8.2836919, -35.0165920, -211.896920, 6.312842, 0.3258, -0.0424, 8.2836014, -35.0165802
8.1931778, -34.6221930, -188.391990, -124.120380, 0.3809, 0.0474, 8.1930720, -34.6222062
7.0422306, -34.1409720, 125.473330, -284.185270, -0.3066, 0.1203, 7.0423158, -34.1410054
6.8172631, -34.9495920, 184.634320, -15.996899, -0.1900, -0.0672, 6.8173159, -34.9495733
6.9693784, -35.1688360, 143.020770, 56.053100, -0.2523, -0.0239, 6.9694485, -35.1688294
7.0291715, -35.4397310, 126.584690, 145.410460, -0.1458, 0.0920, 7.0292120, -35.4397565
7.2578722, -35.6972590, 64.968016, 230.450370, -0.3009, 0.1473, 7.2579558, -35.6972999
6.5479946, -34.5257660, 259.664670, -155.766110, -0.1177, -0.0991, 6.5480273, -34.5257385
6.6932770, -34.9660870, 218.295560, -10.313141, 0.1562, -0.0795, 6.6932336, -34.9660649
6.5546788, -35.2033700, 255.393590, 68.456101, -0.1871, 0.1810, 6.5547308, -35.2034203
