# gaia offsets for plate:9448 pointing:C fiberPosition:1
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
45.5335370, -35.8077620, -143.258060, 267.819390, 0.2507, -0.2413, 45.5334674, -35.8076950
45.7285740, -35.4114340, -196.183460, 136.653980, 0.1238, 0.2607, 45.7285396, -35.4115064
45.5870880, -34.8168790, -158.972540, -59.927901, -0.9219, -0.3904, 45.5873441, -34.8167705
45.7764200, -34.5261220, -211.488620, -155.851390, Nan, Nan, Nan, Nan
45.3735790, -34.1793940, -102.275510, -271.358770, 0.0362, -0.1296, 45.3735689, -34.1793580
45.8827480, -35.4676760, -237.867050, 155.791020, 0.0890, 0.0455, 45.8827233, -35.4676886
46.0364140, -35.1860960, -280.272500, 63.036531, -0.4844, 0.2298, 46.0365486, -35.1861598
45.9981860, -34.6315840, -271.860850, -120.588560, -0.3749, -0.1000, 45.9982901, -34.6315562
44.7056410, -34.3399730, 80.288308, -217.900650, -0.2428, -0.2741, 44.7057084, -34.3398969
44.7385940, -34.7504660, 70.768080, -82.121556, -0.2669, -0.3373, 44.7386682, -34.7503723
45.0186250, -35.0453890, -5.020603, 14.948894, 0.1095, -0.0676, 45.0185946, -35.0453702
44.5699520, -35.4557760, 115.590000, 150.645440, -0.2160, -0.0848, 44.5700120, -35.4557524
45.0369400, -35.7424160, -9.907960, 245.335760, -0.0828, -0.1146, 45.0369630, -35.7423842
44.1968770, -34.6995900, 218.150950, -98.373606, -0.0135, 0.2642, 44.1968807, -34.6996634
44.3135960, -34.9119940, 185.721810, -28.396538, 0.0664, -0.0355, 44.3135775, -34.9119841
44.2350200, -35.4513630, 205.979900, 149.988800, -0.2261, -0.0062, 44.2350828, -35.4513613
