# gaia offsets for plate:9449 pointing:D fiberPosition:2
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
15.2340410, 24.3018790, -70.478164, 230.462510, 0.0326, 0.0779, 15.2340320, 24.3018574
15.4330360, 24.5312580, -130.028980, 154.397040, -0.0144, -0.0277, 15.4330400, 24.5312657
15.1122210, 25.3199900, -33.424348, -105.456560, 0.0933, -0.0727, 15.1121951, 25.3200102
15.5290860, 25.5031680, -157.729640, -166.486730, -0.1110, 0.0269, 15.5291168, 25.5031605
15.1720500, 25.8531670, -51.232584, -282.264510, -0.0626, 0.0076, 15.1720674, 25.8531649
15.8897100, 24.7272960, -267.350840, 89.258755, 0.0368, 0.0447, 15.8896998, 24.7272836
15.9675210, 25.0380310, -290.084580, -13.664500, -0.0816, 0.0214, 15.9675437, 25.0380250
15.8499680, 25.5487500, -253.973780, -182.513940, -0.0518, 0.0445, 15.8499824, 25.5487376
14.7737460, 25.8693520, 67.384174, -287.726930, 0.0017, 0.0065, 14.7737455, 25.8693502
14.5336610, 25.1557910, 139.165940, -51.631869, 0.0342, -0.0094, 14.5336515, 25.1557936
14.9573950, 24.9392980, 12.720212, 19.926849, -0.0360, 0.0220, 14.9574050, 24.9392919
14.5693820, 24.5417990, 129.282210, 150.910060, -0.0357, 0.0558, 14.5693919, 24.5417835
14.8681260, 24.0911800, 39.858599, 300.698650, -0.0317, 0.0797, 14.8681348, 24.0911578
14.2666440, 25.4450740, 218.954800, -147.742410, 0.0686, 0.0032, 14.2666250, 25.4450731
14.2995370, 25.0496200, 209.493300, -16.965382, 0.0444, 0.0899, 14.2995247, 25.0495950
14.1674210, 24.5634980, 250.572180, 143.569010, -0.0260, 0.0001, 14.1674282, 24.5634980
