# gaia offsets for plate:9448 pointing:B fiberPosition:1
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
7.9076214, -35.7501920, -109.407400, 248.325520, Nan, Nan, Nan, Nan
8.1978800, -34.9632490, -188.713870, -11.463692, 0.1516, 0.1015, 8.1978379, -34.9632772
7.9067310, -34.9336400, -109.870530, -21.638323, 0.0420, -0.0544, 7.9067193, -34.9336249
8.1387285, -34.7158390, -173.270520, -93.222887, -0.0047, 0.1156, 8.1387298, -34.7158711
8.0411524, -34.2967130, -147.871530, -232.213040, -0.0978, -0.0232, 8.0411796, -34.2967066
8.5667120, -35.2870060, -288.275710, 96.568342, -0.9090, -0.0437, 8.5669645, -35.2869938
8.5863587, -35.0474180, -294.355110, 17.299005, 0.1011, -0.1234, 8.5863306, -35.0473837
8.5860362, -34.9235230, -294.721780, -23.707691, -0.0577, -0.0377, 8.5860522, -34.9235125
7.5423633, -34.1591190, -11.596189, -278.146830, -0.2970, 0.0247, 7.5424458, -34.1591258
7.2830556, -34.8447870, 58.644419, -51.055784, -0.1519, 0.1424, 7.2830978, -34.8448265
7.3753540, -34.9133530, 33.657690, -28.507290, -0.1526, 0.2627, 7.3753964, -34.9134260
7.1761760, -35.3142320, 87.098233, 103.721580, 0.0212, 0.1277, 7.1761701, -35.3142675
7.3847274, -35.7486860, 30.919222, 247.451810, -0.1716, 0.1262, 7.3847751, -35.7487210
6.8256530, -34.6417770, 183.192520, -117.662860, -0.3018, 0.1436, 6.8257368, -34.6418169
6.8298530, -34.9854010, 181.133880, -4.205002, Nan, Nan, Nan, Nan
6.7677780, -35.2053640, 197.508250, 68.523795, -0.2881, 0.1242, 6.7678580, -35.2053985
