# gaia offsets for plate:9449 pointing:B fiberPosition:3
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
300.7602400, -75.8195270, -61.561304, 271.498640, -0.1771, 0.3202, 300.7602892, -75.8196160
300.6826300, -75.3619310, -56.811981, 119.650900, 0.1136, 0.0974, 300.6825984, -75.3619581
300.7539500, -74.9485130, -64.431652, -16.498157, 0.0614, 0.1514, 300.7539329, -74.9485550
301.4351200, -74.7342360, -124.511590, -86.043082, 0.6053, -0.2733, 301.4349519, -74.7341601
300.1797600, -74.1062620, -16.254713, -295.725970, -0.3277, 0.2461, 300.1798510, -74.1063304
302.1780000, -75.2679670, -182.708810, 91.881252, -0.2646, 0.1383, 302.1780735, -75.2680054
302.6404700, -75.0909650, -224.219630, 35.128738, 0.1851, 0.1864, 302.6404186, -75.0910168
302.7407100, -74.6944730, -238.981710, -95.364678, 0.8795, 0.0453, 302.7404657, -74.6944856
298.6385100, -74.1635760, 123.004450, -275.469050, -0.3982, -0.0008, 298.6386206, -74.1635758
298.2598400, -74.6847630, 151.622700, -101.786070, -0.2247, -0.1677, 298.2599024, -74.6847164
298.5625800, -75.2302930, 120.802730, 77.363857, -0.2363, 0.0200, 298.5626456, -75.2302986
297.9489600, -75.4746480, 169.895430, 159.686580, -0.5848, 0.0986, 297.9491224, -75.4746754
299.6195300, -75.8703310, 30.762141, 288.086650, 0.1281, 0.1876, 299.6194944, -75.8703831
296.4394300, -74.8111240, 308.747190, -53.348913, -0.8397, 0.2603, 296.4396632, -74.8111963
297.2434800, -75.0292890, 235.140620, 15.093513, -0.0741, 0.4239, 297.2435006, -75.0294067
296.8139300, -75.2147610, 268.819210, 78.202659, -0.5799, -0.1048, 296.8140911, -75.2147319
