# gaia offsets for plate:9450 pointing:C fiberPosition:3
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
37.5159790, -0.8343225, -5.284878, 275.924500, -0.0611, 0.0718, 37.5159960, -0.8343424
37.7246450, -0.3346517, -74.043064, 110.275470, -0.0759, -0.0037, 37.7246661, -0.3346507
37.5887870, -0.1273278, -29.238044, 41.906890, -0.0067, 0.1084, 37.5887889, -0.1273579
37.7971980, 0.3514190, -97.988421, -115.879820, 0.0054, -0.0720, 37.7971965, 0.3514390
37.4620290, 0.8837228, 12.565477, -292.467610, 0.0563, 0.0797, 37.4620134, 0.8837007
38.0800300, -0.1929838, -191.445310, 63.673584, -0.2087, -0.0372, 38.0800880, -0.1929735
38.0913560, -0.1513232, -195.182490, 49.923349, 0.0152, -0.0206, 38.0913518, -0.1513175
38.1931550, 0.1980938, -229.003090, -65.463214, 0.0719, -0.0304, 38.1931350, 0.1981022
37.1022790, 0.7474963, 131.561600, -247.282610, 0.0450, 0.0661, 37.1022665, 0.7474779
36.9012460, 0.0246807, 197.607200, -8.164972, -0.0367, 0.0735, 36.9012562, 0.0246602
37.3270960, -0.3077736, 56.975043, 101.391350, -0.0292, 0.0796, 37.3271041, -0.3077957
37.0566420, -0.4286240, 146.339350, 141.450830, -0.0196, 0.0938, 37.0566475, -0.4286501
37.4291310, -0.8244613, 23.437394, 272.642310, -0.0883, 0.1381, 37.4291555, -0.8244997
36.5863660, 0.0050151, 302.469650, -1.679993, 0.0805, -0.0158, 36.5863436, 0.0050195
36.7040620, -0.0151129, 263.158310, 4.976724, -0.0057, 0.0843, 36.7040636, -0.0151363
36.6704250, -0.1226063, 274.404440, 40.534366, Nan, Nan, Nan, Nan
