# gaia offsets for plate:9449 pointing:B fiberPosition:1
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
301.9863500, -75.7562960, -161.697500, 253.120280, -0.2587, -0.0727, 301.9864219, -75.7562758
301.3276400, -75.4221500, -110.169960, 140.540450, -0.3486, 0.3405, 301.3277368, -75.4222446
301.7293300, -75.0113800, -147.366270, 5.972651, -1.3888, 0.2666, 301.7297158, -75.0114541
301.8455600, -74.5236740, -162.546390, -154.685450, 0.0210, 0.1560, 301.8455542, -74.5237173
300.6502400, -74.2214580, -58.412127, -257.014700, -0.3036, 0.2257, 300.6503243, -74.2215207
302.9132900, -75.4315870, -242.270010, 148.832380, -0.0168, 0.2488, 302.9132947, -75.4316561
303.5344800, -74.7758460, -307.121080, -64.959252, -1.1118, 0.2630, 303.5347888, -74.7759191
303.3154500, -74.6705790, -289.979950, -100.845150, 0.0967, 0.0986, 303.3154231, -74.6706064
299.9101200, -74.2371750, 8.105217, -252.064550, 0.0172, 0.0222, 299.9101152, -74.2371812
298.8948800, -74.6081160, 96.739209, -128.317190, -0.4892, 0.5254, 298.8950159, -74.6082619
299.6720100, -75.2065480, 27.612745, 68.116148, -1.3920, 0.1425, 299.6723967, -75.2065876
299.2425300, -75.4082150, 62.935877, 134.979850, -2.2313, 0.3861, 299.2431498, -75.4083222
299.9079900, -75.9417720, 7.432649, 311.884200, -0.7523, 0.2992, 299.9081990, -75.9418551
297.2766300, -74.6190870, 238.759330, -120.510070, -0.3789, 0.2463, 297.2767353, -74.6191554
297.4033000, -74.9927600, 221.963840, 2.426737, -0.5094, 0.0435, 297.4034415, -74.9927721
297.5436300, -75.1980510, 207.151160, 69.642761, 0.0703, 0.1582, 297.5436105, -75.1980949
