# gaia offsets for plate:9449 pointing:C fiberPosition:1
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
330.2006000, 9.3816757, -65.318758, 204.042960, 0.0227, -0.0284, 330.2005937, 9.3816836
330.5353300, 9.6865801, -174.137970, 103.212090, 0.0047, 0.0218, 330.5353287, 9.6865740
330.2949600, 9.9159914, -95.690459, 27.570113, -0.0053, -0.0041, 330.2949615, 9.9159925
330.3965700, 10.2939420, -128.635790, -97.061492, -0.0461, 0.0824, 330.3965828, 10.2939191
330.4257400, 10.7046310, -138.311390, -233.147310, 0.0097, 0.1054, 330.4257373, 10.7046017
330.8187400, 9.8094061, -266.784900, 62.593379, 0.0976, 0.0631, 330.8187129, 9.8093886
330.9448600, 9.9275272, -308.144280, 23.439640, -0.0258, 0.0419, 330.9448672, 9.9275156
330.8504600, 10.0820490, -276.928000, -27.600370, -0.0119, 0.0778, 330.8504633, 10.0820274
329.8684600, 10.2578200, 42.661827, -84.949684, -0.0248, 0.0285, 329.8684669, 10.2578121
329.7459300, 10.0968640, 82.413545, -31.945357, -0.0256, -0.0357, 329.7459371, 10.0968739
329.8855400, 10.1424080, 37.126583, -46.920185, -0.0622, 0.0208, 329.8855573, 10.1424022
329.7881000, 9.6420484, 68.877687, 117.931540, -0.0068, -0.0406, 329.7881019, 9.6420597
329.8373000, 9.2605260, 53.088395, 244.315860, 0.0168, -0.0025, 329.8372953, 9.2605267
329.3619400, 10.1297830, 207.373110, -43.018162, -0.0768, 0.1007, 329.3619613, 10.1297550
329.4344400, 9.9173774, 183.818740, 27.114472, 0.0056, -0.0121, 329.4344385, 9.9173808
329.3515000, 9.6676847, 211.211110, 109.587750, -0.0195, -0.0397, 329.3515054, 9.6676957
