# gaia offsets for plate:9448 pointing:C fiberPosition:3
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
45.1048320, -35.9092560, -28.111036, 301.036540, -0.0460, 0.1522, 45.1048448, -35.9092983
45.3283850, -35.3628270, -88.292353, 119.770870, -0.3395, -0.4062, 45.3284793, -35.3627142
45.0212870, -34.7267380, -5.763272, -90.012150, -0.5743, -0.0778, 45.0214465, -34.7267164
45.1953130, -34.5328070, -53.062203, -154.015530, -0.0082, 0.0837, 45.1953153, -34.5328302
44.9610810, -34.1597140, 10.653215, -277.948220, -0.2483, -0.1575, 44.9611500, -34.1596702
45.7986700, -35.2840160, -215.373120, 94.691750, -0.0090, 0.3540, 45.7986725, -35.2841143
45.7184290, -35.0254780, -194.146510, 9.109881, -0.2149, -0.2485, 45.7184887, -35.0254090
45.7092570, -34.8382490, -192.128290, -52.699565, -0.3428, -0.0282, 45.7093522, -34.8382412
44.4092550, -34.2044830, 161.787250, -262.944930, -0.2923, 0.0418, 44.4093362, -34.2044946
44.3287960, -34.6092760, 182.436260, -128.418380, 0.1202, 0.0089, 44.3287626, -34.6092785
44.5274400, -34.9344860, 127.684230, -21.286806, -0.2427, 0.1331, 44.5275074, -34.9345230
44.3476870, -35.1421140, 175.979790, 47.464240, 0.0477, 0.0375, 44.3476738, -35.1421244
44.4889040, -35.8337720, 137.212050, 276.447570, 0.0042, 0.0516, 44.4889028, -35.8337863
43.9644570, -34.6995910, 281.812210, -97.978511, 0.0668, -0.0560, 43.9644384, -34.6995754
43.9386490, -34.9722790, 287.774480, -7.640524, 0.3500, -0.0825, 43.9385518, -34.9722561
44.0688200, -35.4120410, 251.106670, 137.512270, -0.0315, 0.4047, 44.0688287, -35.4121534
