# gaia offsets for plate:9449 pointing:B fiberPosition:2
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
301.0151200, -75.7503500, -82.558699, 248.807580, -0.9476, -0.0981, 301.0153832, -75.7503227
300.9987500, -75.1837470, -84.089911, 61.293088, -0.1200, -0.0882, 300.9987833, -75.1837225
300.9868100, -75.0253680, -83.933825, 9.106666, -0.2213, 0.0729, 300.9868715, -75.0253883
301.8617700, -74.7658770, -161.285090, -74.616162, 0.4302, 0.5038, 301.8616505, -74.7660169
300.3410100, -74.1490100, -30.773397, -281.383880, -0.1320, 0.0524, 300.3410467, -74.1490246
302.7657700, -75.4253010, -230.016470, 146.106380, 0.2087, 0.2627, 302.7657120, -75.4253740
303.2150000, -74.8262410, -278.176090, -49.827256, -0.0563, 0.3122, 303.2150156, -74.8263277
303.0502100, -74.7594300, -264.995110, -72.637724, -0.3820, 0.0787, 303.0503161, -74.7594519
299.8905400, -74.2757230, 9.835810, -239.233400, -2.1887, 0.0164, 299.8911480, -74.2757276
298.6335100, -74.7557220, 118.446860, -79.164012, -0.0702, 0.0724, 298.6335295, -74.7557421
299.1260900, -75.1516420, 73.789472, 50.494928, -1.2339, 0.1812, 299.1264327, -75.1516923
298.2782200, -75.5097810, 142.254760, 170.374670, 0.6385, 0.2848, 298.2780426, -75.5098601
299.8098400, -75.7170790, 15.529624, 236.921430, -1.0195, 0.2178, 299.8101232, -75.7171395
296.6698600, -74.9040640, 286.804730, -23.750986, -0.6964, 0.1345, 296.6700534, -74.9041014
297.3129000, -75.1579920, 227.289960, 57.292178, -0.1648, 0.3105, 297.3129458, -75.1580782
297.0114700, -75.1881870, 252.462410, 68.520554, -0.4563, 0.0417, 297.0115967, -75.1881986
