# gaia offsets for plate:9449 pointing:A fiberPosition:1
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
331.2187600, -75.7548360, -99.171421, 250.618080, -0.6480, 0.0723, 331.2189400, -75.7548561
332.3171700, -75.0909670, -196.714240, 33.896076, -0.3615, 0.2128, 332.3172704, -75.0910261
331.5272000, -75.0874580, -129.526030, 30.524894, 0.3710, 0.0949, 331.5270969, -75.0874844
332.0448000, -74.7245640, -177.762380, -87.783186, -0.5295, 0.0455, 332.0449471, -74.7245766
330.8482600, -74.1647450, -76.586578, -275.718950, -0.4104, 0.0977, 330.8483740, -74.1647721
333.2355600, -75.4665630, -268.784060, 161.861760, -0.1132, 0.5817, 333.2355914, -75.4667246
333.1607400, -75.0617830, -269.320870, 27.640636, 0.3306, -0.1838, 333.1606482, -75.0617320
333.2604400, -74.6356810, -285.903150, -112.715610, -0.7910, 0.1392, 333.2606597, -74.6357197
330.0329700, -74.2705610, -2.953244, -240.918280, -0.3577, 0.2080, 330.0330694, -74.2706188
329.3553700, -74.6587640, 56.205960, -112.091430, -0.0334, 0.0718, 329.3553793, -74.6587839
329.7126200, -75.2399670, 24.116721, 79.120861, -0.4499, 0.1350, 329.7127450, -75.2400045
329.4024500, -75.3800500, 49.713964, 125.529710, -0.0609, 0.1453, 329.4024669, -75.3800904
329.6504400, -75.6689300, 28.574341, 220.977530, -0.9506, 0.1750, 329.6507041, -75.6689786
327.2026000, -74.5856410, 245.869050, -131.204910, 0.3746, 0.0123, 327.2024959, -74.5856444
327.7799900, -74.9809740, 189.784750, -2.688254, 1.1652, 0.0793, 327.7796663, -74.9809960
327.1779100, -75.4407420, 234.588080, 151.383830, -1.1133, 0.2184, 327.1782192, -75.4408027
