# gaia offsets for plate:9450 pointing:D fiberPosition:3
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
67.5080060, -0.6659195, -2.643572, 219.861330, -0.1641, 0.0159, 67.5080516, -0.6659239
67.7802510, -0.3890360, -92.411503, 128.256820, -0.1331, 0.0414, 67.7802880, -0.3890475
67.5471660, 0.0884676, -15.530541, -29.148374, -0.1396, 0.0666, 67.5472048, 0.0884491
68.0038020, 0.5098367, -166.434820, -168.443720, -0.0545, 0.0976, 68.0038171, 0.5098096
67.4964660, 0.9310516, 1.170115, -308.299420, 0.0511, 0.1461, 67.4964518, 0.9310110
68.1513330, -0.4691959, -215.358170, 155.112700, 0.0277, 0.0342, 68.1513253, -0.4692054
68.0639490, 0.0767128, -186.077270, -25.330444, -0.0546, 0.1640, 68.0639642, 0.0766672
68.0835190, 0.1779660, -192.595140, -58.756400, -0.0864, 0.1487, 68.0835430, 0.1779247
67.1174920, 0.8566227, 126.661830, -283.681850, 0.0689, 0.1419, 67.1174728, 0.8565833
67.1144510, 0.1493215, 127.085440, -49.236948, 0.1557, 0.3151, 67.1144078, 0.1492339
67.2360830, -0.2971495, 86.984743, 97.912540, 0.0496, -0.0347, 67.2360692, -0.2971399
67.0276950, -0.3206836, 155.839400, 105.786480, 0.0938, 0.0588, 67.0276690, -0.3207000
67.0826310, -0.7967174, 138.142790, 263.683590, 0.1591, 0.3152, 67.0825868, -0.7968049
66.6682840, 0.2852774, 275.236860, -94.423426, -0.0923, 0.1184, 66.6683096, 0.2852445
66.7886430, 0.0912243, 235.009110, -30.156223, 0.2111, 0.5731, 66.7885844, 0.0910651
66.8097850, -0.3481832, 228.146380, 115.066600, -0.0042, 0.0102, 66.8097862, -0.3481861
