# gaia offsets for plate:9448 pointing:D fiberPosition:2
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
82.7673550, -35.8571620, -71.714619, 283.776220, 0.0764, 0.0161, 82.7673338, -35.8571665
82.8179740, -35.2923390, -85.538921, 96.490132, -0.0607, -0.2201, 82.8179909, -35.2922779
82.7955260, -34.8833960, -79.857452, -38.288619, 0.0463, -0.4085, 82.7955131, -34.8832825
82.9934910, -34.4574090, -134.381580, -178.854500, 0.0307, -0.1781, 82.9934825, -34.4573595
82.8545200, -34.1367110, -97.146740, -285.618580, -0.2092, -0.2156, 82.8545781, -34.1366511
83.4680120, -35.1433280, -261.731610, 48.665820, 0.1782, -0.1653, 83.4679625, -35.1432821
83.4932060, -34.9542690, -269.194080, -13.781404, 0.0158, -0.1546, 83.4932016, -34.9542260
83.3072440, -34.7067910, -219.251400, -95.985598, -0.2046, -0.2146, 83.3073008, -34.7067314
82.3274280, -34.3062130, 47.091454, -229.140450, 0.0125, -0.3960, 82.3274245, -34.3061030
82.0637470, -34.6272540, 118.402880, -122.681430, -0.1690, -0.0986, 82.0637939, -34.6272266
82.3063180, -35.2529790, 52.106326, 83.396985, -0.1047, -0.0592, 82.3063471, -35.2529625
82.0959710, -35.2901080, 108.720620, 95.864234, -0.0550, -0.1035, 82.0959863, -35.2900792
82.1657590, -35.6774290, 89.710784, 223.982330, -0.0399, -0.0889, 82.1657701, -35.6774043
81.5555090, -34.4838820, 257.799090, -169.687120, 0.0966, -0.5489, 81.5554822, -34.4837295
81.6826740, -35.1366580, 220.744160, 46.040810, 0.0785, 0.1819, 81.6826522, -35.1367085
81.5972020, -35.3143420, 243.579120, 105.043570, 0.0316, 0.0585, 81.5971932, -35.3143583
