# gaia offsets for plate:9449 pointing:C fiberPosition:2
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
330.1430900, 9.0645742, -46.775717, 309.694220, 0.0103, -0.0215, 330.1430871, 9.0645802
330.3838700, 9.6980126, -124.741950, 99.427144, -0.0699, 0.0108, 330.3838894, 9.6980096
330.2358700, 9.8638632, -76.518892, 44.755790, 0.0001, 0.1045, 330.2358700, 9.8638342
330.3154700, 10.1537960, -102.289270, -50.778349, -0.0241, 0.0589, 330.3154767, 10.1537796
330.3649300, 10.6606620, -118.486090, -218.426500, -0.0395, -0.0009, 330.3649410, 10.6606623
330.7386200, 9.7755761, -240.531250, 73.796744, -0.0876, 0.0057, 330.7386443, 9.7755745
330.8964500, 9.9292178, -292.188740, 22.914978, 0.0029, 0.0618, 330.8964492, 9.9292006
330.6998200, 10.3015750, -227.502490, -99.983442, 0.1102, 0.1021, 330.6997894, 10.3015466
329.4219000, 10.5163040, 187.880260, -170.773370, -0.0602, 0.0138, 329.4219167, 10.5163002
329.7104000, 10.1224240, 93.942324, -40.376245, Nan, Nan, Nan, Nan
329.8346300, 9.7906961, 53.699089, 68.901133, -0.0259, -0.0948, 329.8346372, 9.7907224
329.6440700, 9.6836570, 115.703540, 104.226730, -0.0229, -0.0445, 329.6440764, 9.6836694
329.7874200, 9.3982243, 69.254399, 198.593520, 0.0251, -0.0400, 329.7874130, 9.3982354
329.2651200, 10.1458950, 239.033410, -48.436053, -0.0340, 0.0238, 329.2651294, 10.1458884
329.3276800, 9.9047334, 218.709440, 31.256947, -0.0064, -0.0058, 329.3276818, 9.9047350
329.3491100, 9.7273498, 211.905410, 89.858070, -0.0282, -0.0745, 329.3491178, 9.7273705
