# gaia offsets for plate:9448 pointing:A fiberPosition:2
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
330.3241700, -35.7381250, -86.988375, 244.158260, -0.0965, 0.0268, 330.3241968, -35.7381324
330.2643300, -35.2130830, -71.149056, 70.298525, 0.2958, 0.0520, 330.2642478, -35.2130974
330.1891700, -34.7789760, -51.182996, -72.755466, 0.4257, 0.1871, 330.1890517, -34.7790280
330.4644000, -34.6343240, -126.041200, -120.324560, -0.0887, 0.0040, 330.4644246, -34.6343251
330.1960600, -34.1538180, -53.683137, -279.912480, -0.1870, -0.2178, 330.1961120, -34.1537575
330.9067800, -35.2056850, -244.898930, 69.103539, -0.0934, 0.2262, 330.9068060, -35.2057478
330.8890600, -34.8856540, -240.978940, -36.708395, 0.0680, 0.2327, 330.8890411, -34.8857186
330.8627100, -34.7454030, -234.269170, -83.125497, -0.1039, 0.1184, 330.8627389, -34.7454359
329.7631800, -34.2172550, 64.755645, -258.744340, -0.1274, 0.1314, 329.7632154, -34.2172915
329.5786700, -34.8872600, 113.890890, -36.908207, 0.1177, 0.0711, 329.5786373, -34.8872797
329.8450900, -35.1951180, 41.695857, 64.302411, -0.0152, 0.0523, 329.8450942, -35.1951325
329.4287600, -35.4653550, 153.625810, 154.101670, -0.1444, 0.1180, 329.4288001, -35.4653878
329.8419700, -35.8473850, 42.381606, 280.390460, Nan, Nan, Nan, Nan
329.3096400, -34.7388760, 187.265660, -85.546180, -0.3212, 0.3220, 329.3097292, -34.7389655
329.0749600, -34.8064960, 251.085980, -62.804211, Nan, Nan, Nan, Nan
329.1307200, -35.2218480, 234.666550, 74.337325, 0.0381, 0.0885, 329.1307094, -35.2218726
