# gaia offsets for plate:9450 pointing:B fiberPosition:2
# ra/dec in deg, xyFocal in mm, offsets in arcseconds (plPlug - gaia)
# plPlug ra, plPlug dec, plPlug xFocal, plPlug yFocal, offRA, offDec, gaia ra, gaia dec
7.8527602, -0.8278416, -116.758270, 273.986030, 0.0359, 0.1661, 7.8527502, -0.8278877
7.7200354, -0.3996108, -72.545247, 131.724590, 0.0565, 0.0908, 7.7200197, -0.3996360
7.6508945, 0.2401064, -49.708491, -79.112620, 0.2241, 0.2673, 7.6508322, 0.2400322
7.7360413, 0.5076665, -77.875435, -167.504540, 0.0987, 0.3505, 7.7360139, 0.5075692
7.7971062, 0.7151431, -98.204147, -236.397590, 0.0491, 0.0282, 7.7970926, 0.7151352
8.2206363, -0.2346643, -238.167250, 77.533033, -0.0003, 0.0563, 8.2206364, -0.2346799
8.3389055, -0.0333095, -277.494170, 10.998045, -0.1947, 0.2645, 8.3389596, -0.0333830
8.2678286, 0.0583609, -253.796460, -19.309656, -0.2415, 0.1313, 8.2678957, 0.0583245
7.3709670, 0.9040327, 42.714167, -299.289360, 0.0057, 0.0887, 7.3709654, 0.9040080
7.0918951, -0.1441945, 134.534950, 47.512119, Nan, Nan, Nan, Nan
7.4101309, -0.0476130, 29.591638, 15.656564, -0.0911, 0.1074, 7.4101562, -0.0476428
7.1372290, -0.4986457, 119.739140, 164.561480, -0.0008, 0.1873, 7.1372292, -0.4986978
7.1989980, -0.8521572, 99.631228, 282.046620, -0.0556, 0.1225, 7.1990134, -0.8521912
6.8951377, 0.5765907, 200.061760, -190.727840, -0.0946, 0.0785, 6.8951640, 0.5765689
6.7881074, -0.1935495, 235.231430, 63.932559, -0.1404, 0.0402, 6.7881464, -0.1935607
6.8992722, -0.4465414, 198.516640, 147.540240, -0.1406, 0.0229, 6.8993113, -0.4465477
